date,category,total_cases,reported,spk_issued,invoice,paid,pct_reported,pct_spk,pct_invoice,pct_paid
2026-05-08,nongrab_oona,65.0,65.0,65.0,64.0,0.0,100.0,100.0,98.46,0.0
2026-05-08,nongrab_avrist,329.0,329.0,322.0,321.0,125.0,100.0,97.87,97.57,37.99
2026-05-08,nongrab_sinarmas,138.0,138.0,138.0,133.0,0.0,100.0,100.0,96.38,0.0
2026-05-08,grab_allrisk,23.0,23.0,23.0,22.0,0.0,100.0,100.0,95.65,0.0
2026-05-08,nongrab_allrisk,1749.0,1607.0,1329.0,685.0,244.0,91.88,75.99,39.17,13.95
2026-05-09,grab_oona,2257.0,2257.0,2181.0,2173.0,1443.0,100.0,96.63,96.28,63.93
2026-05-09,grab_avrist,1693.0,1693.0,1624.0,1624.0,1318.0,100.0,95.92,95.92,77.85
2026-05-09,nongrab_oona,65.0,65.0,65.0,64.0,0.0,100.0,100.0,98.46,0.0
2026-05-09,nongrab_avrist,334.0,334.0,327.0,326.0,125.0,100.0,97.9,97.6,37.43
2026-05-09,nongrab_sinarmas,142.0,142.0,142.0,137.0,0.0,100.0,100.0,96.48,0.0
2026-05-09,grab_allrisk,23.0,23.0,23.0,22.0,0.0,100.0,100.0,95.65,0.0
2026-05-09,nongrab_allrisk,1758.0,1607.0,1356.0,685.0,244.0,91.41,77.13,38.96,13.88
2026-05-10,grab_oona,2258.0,2258.0,2182.0,2174.0,1443.0,100.0,96.63,96.28,63.91
2026-05-10,grab_avrist,1694.0,1694.0,1625.0,1625.0,1318.0,100.0,95.93,95.93,77.8
2026-05-10,nongrab_oona,65.0,65.0,65.0,64.0,0.0,100.0,100.0,98.46,0.0
2026-05-10,nongrab_avrist,334.0,334.0,327.0,326.0,125.0,100.0,97.9,97.6,37.43
2026-05-10,nongrab_sinarmas,142.0,142.0,142.0,137.0,0.0,100.0,100.0,96.48,0.0
2026-05-10,grab_allrisk,23.0,23.0,23.0,22.0,0.0,100.0,100.0,95.65,0.0
2026-05-10,nongrab_allrisk,1759.0,1607.0,1356.0,685.0,244.0,91.36,77.09,38.94,13.87
2026-05-11,grab_oona,2298.0,2298.0,2222.0,2214.0,1445.0,100.0,96.69,96.34,62.88
2026-05-11,grab_avrist,1711.0,1711.0,1642.0,1642.0,1320.0,100.0,95.97,95.97,77.15
2026-05-11,nongrab_oona,69.0,69.0,69.0,68.0,0.0,100.0,100.0,98.55,0.0
2026-05-11,nongrab_avrist,345.0,345.0,338.0,337.0,125.0,100.0,97.97,97.68,36.23
